Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,linf,standard,adv_lib_apgd_minimal,100.0(0.09190926259919209),4.1718,417.18,0.003,0.987,96.4(0.48753588510247414),0.0324,3.12,0.0,0.82,100.0(0.13126426046312922),0.2714,27.13,0.016,0.921,98.1(0.2895033014052345),0.4668,45.77,0.16,0.679,93.2(0.14595828107050313),0.0255,2.38,0.231,0.888,6.205,0.827
cifar10,128,linf,standard,adv_lib_pgd_minimal,100.0(0.09182025822469204),6.0224,602.24,0.003,0.978,93.5(0.4845472666615642),0.031,2.9,0.0,0.731,100.0(0.1310915872532526),0.3097,30.97,0.015,0.943,97.8(0.28701353785808625),0.1412,13.82,0.146,0.553,94.1(0.14246350652500392),0.0244,2.29,0.272,0.846,1.894,0.769
cifar10,128,linf,standard,fb_pgd_minimal,100.0(0.09182025822469204),3.7967,379.67,0.004,0.87,92.6(0.4836141591485909),0.0355,3.29,0.0,0.714,100.0(0.13114944699651676),0.3208,32.07,0.014,0.947,96.4(0.2885653650260147),0.7618,73.42,0.204,0.487,94.0(0.14301650411284028),0.0227,2.13,0.282,0.831,0.939,0.745
cifar10,128,linf,standard,dr_pgd_minimal,100.0(0.09182025822469204),5.6476,564.76,0.004,0.859,91.0(0.4814484549089012),0.036,3.28,0.0,0.718,100.0(0.13114875864224415),0.2977,29.77,0.016,0.93,95.3(0.2897065630534723),1.2595,120.03,0.173,0.489,93.9(0.14333909796228755),0.0248,2.33,0.28,0.834,0.814,0.743
cifar10,128,linf,standard,ta_pgd_minimal,100.0(0.09182025822469204),5.6821,568.21,0.004,0.89,89.8(0.4799516001169984),0.0396,3.56,0.0,0.717,100.0(0.13114944699651676),0.3018,30.17,0.015,0.934,94.6(0.2904171009417622),2.3051,218.09,0.188,0.481,93.8(0.14365724078918),0.0242,2.27,0.282,0.83,0.753,0.74
cifar10,128,linf,standard,fb_bim_minimal,100.0(0.09182025822469204),5.9441,594.41,0.003,0.938,90.9(0.4816892181354304),0.0375,3.41,0.0,0.694,99.9(0.13177998094471474),0.2535,25.32,0.021,0.87,95.4(0.2896052282171251),1.1073,105.67,0.208,0.512,94.7(0.13972709906748917),0.0231,2.19,0.291,0.831,0.202,0.727
cifar10,128,linf,standard,original_ga_tdmi_fgsm,100.0(0.09190926259919209),0.0196,1.96,0.2,0.0,70.7(0.4494698292204194),0.0138,0.98,0.0,0.634,91.8(0.16495542630860732),0.0196,1.8,0.2,0.526,88.2(0.2978633165899956),0.011,0.97,0.2,0.599,90.7(0.15567760162296437),0.0138,1.25,0.4,0.852,0.029,0.653
cifar10,128,linf,standard,original_ga_dmi_fgsm,100.0(0.09190926259919209),0.0196,1.96,0.2,0.0,70.0(0.4480149988199553),0.0135,0.95,0.0,0.611,89.7(0.17173058327163201),0.0196,1.76,0.2,0.514,85.4(0.2991837324617546),0.0106,0.91,0.4,0.559,90.2(0.15751079473638666),0.0131,1.18,0.4,0.824,0.066,0.627
cifar10,128,linf,standard,original_ga_fgsm,100.0(0.09190926259919209),0.238,23.8,0.016,0.0,5.8(0.15152814594613254),0.0919,0.54,0.0,0.07,40.5(0.20910036668001142),0.2431,9.84,100000.0,0.402,16.7(0.18703842303143928),0.084,1.4,100000.0,0.161,5.5(0.09268618514750919),0.0574,0.31,100000.0,0.063,0.059,0.174
cifar10,128,linf,zhang_2020_small,ch_pgd_minimal,99.3(0.09694742955339862),0.2301,22.86,0.122,0.846,99.0(0.4900522776568446),0.2516,24.92,0.0,0.875,100.0(0.13120677848559212),0.3336,33.35,0.013,0.952,99.8(0.28467011323324654),1.6642,166.09,0.053,0.831,99.9(0.11241848993709501),0.0261,2.61,0.193,0.899,0.027,0.882
