Dataset;$\ell_p$;Source Model;Library;Attack Name;C1 ASR;C1 Optimality;C2 ASR;C2 Optimality;C3 ASR;C3 Optimality;C4 ASR;C4 Optimality;C5 ASR;C5 Optimality;C6  ASR;C6 Optimality;C7 ASR;C7 Optimality
cifar10;$\ell_1$;C1;Foolbox;\hornetwrap{BIM};100.0;0.396;96.2;0.813;99.7;0.675;98.5;0.697;94.4;0.915;70.5;0.692;56.5;0.556
cifar10;$\ell_1$;C1;Foolbox;\hornetwrap{PGD};100.0;0.396;95.6;0.812;99.7;0.667;98.3;0.689;94.3;0.913;70.8;0.697;57.4;0.568
cifar10;$\ell_1$;C1;Foolbox;\hornetwrap{FGM};98.3;0.312;83.0;0.734;97.8;0.635;89.0;0.615;97.1;0.934;44.7;0.395;46.9;0.438
cifar10;$\ell_1$;C1;ART;\hornetwrap{FGM};98.3;0.312;83.1;0.733;97.7;0.633;88.7;0.61;97.1;0.933;;;;
cifar10;$\ell_1$;C1;ART;\hornetwrap{BIM};100.0;0.584;9.2;0.117;45.3;0.387;19.9;0.267;8.4;0.09;;;;
cifar10;$\ell_1$;C1;ART;\hornetwrap{PGD};100.0;0.581;5.4;0.07;27.6;0.252;17.8;0.242;3.6;0.039;;;;
cifar10;$\ell_1$;C1;CleverHans;\hornetwrap{FGM};2.6;0.029;0.2;0.003;3.1;0.031;4.7;0.066;0.3;0.004;;;;
cifar10;$\ell_1$;C2;Original;\hornetwrap{APGD};100.0;0.93;100.0;0.978;100.0;0.949;100.0;0.941;100.0;0.965;70.3;0.753;55.1;0.655
cifar10;$\ell_1$;C2;AdvLib;\hornetwrap{APGD};100.0;0.942;100.0;0.849;100.0;0.932;100.0;0.897;99.6;0.936;;;;
cifar10;$\ell_1$;C2;Foolbox;\hornetwrap{PGD};53.8;0.565;97.9;0.804;99.4;0.972;52.9;0.566;22.7;0.255;44.1;0.438;32.8;0.353
cifar10;$\ell_1$;C2;Foolbox;\hornetwrap{BIM};29.2;0.309;85.2;0.735;95.0;0.934;41.2;0.444;11.5;0.13;33.0;0.304;26.3;0.268
cifar10;$\ell_1$;C2;Foolbox;\hornetwrap{FGM};23.2;0.245;81.7;0.67;92.4;0.91;37.7;0.406;8.3;0.094;22.5;0.181;17.3;0.147
cifar10;$\ell_1$;C2;ART;\hornetwrap{FGM};23.2;0.245;81.7;0.67;92.4;0.91;37.7;0.406;8.3;0.094;;;;
cifar10;$\ell_1$;C2;ART;\hornetwrap{BIM};26.6;0.279;94.0;0.885;89.9;0.889;25.4;0.273;9.4;0.105;;;;
cifar10;$\ell_1$;C2;ART;\hornetwrap{PGD};22.3;0.236;91.5;0.862;88.1;0.873;23.3;0.252;7.4;0.084;;;;
cifar10;$\ell_1$;C2;CleverHans;\hornetwrap{FGM};0.5;0.005;9.8;0.104;1.5;0.015;5.4;0.06;0.2;0.002;;;;
cifar10;$\ell_1$;C3;Original;\hornetwrap{APGD};100.0;0.825;97.2;0.934;100.0;0.99;100.0;0.869;96.3;0.958;;;;
cifar10;$\ell_1$;C3;AdvLib;\hornetwrap{APGD};100.0;0.863;97.8;0.926;100.0;0.883;100.0;0.775;93.8;0.937;;;;
cifar10;$\ell_1$;C3;Foolbox;\hornetwrap{FGM};96.4;0.846;79.8;0.786;100.0;0.2;90.2;0.749;93.2;0.913;;;;
cifar10;$\ell_1$;C3;ART;\hornetwrap{FGM};96.4;0.846;79.8;0.786;100.0;0.2;90.2;0.749;93.2;0.913;;;;
cifar10;$\ell_1$;C3;Foolbox;\hornetwrap{PGD};99.0;0.517;96.5;0.9;100.0;0.316;97.5;0.544;94.7;0.869;;;;
cifar10;$\ell_1$;C3;Foolbox;\hornetwrap{BIM};98.9;0.517;94.6;0.888;100.0;0.323;97.6;0.544;94.9;0.872;;;;
cifar10;$\ell_1$;C3;ART;\hornetwrap{BIM};26.3;0.279;12.0;0.13;100.0;0.447;19.7;0.254;4.5;0.05;;;;
cifar10;$\ell_1$;C3;ART;\hornetwrap{PGD};10.0;0.111;6.3;0.068;100.0;0.445;16.0;0.21;1.5;0.016;;;;
cifar10;$\ell_1$;C3;CleverHans;\hornetwrap{FGM};1.4;0.016;0.1;0.001;3.7;0.042;4.8;0.065;0.2;0.002;;;;
cifar10;$\ell_1$;C4;Original;\hornetwrap{APGD};100.0;0.924;100.0;0.926;100.0;0.881;100.0;0.986;100.0;0.916;;;;
cifar10;$\ell_1$;C4;AdvLib;\hornetwrap{APGD};100.0;0.93;98.2;0.855;100.0;0.927;100.0;0.939;95.1;0.866;;;;
cifar10;$\ell_1$;C4;Foolbox;\hornetwrap{PGD};99.8;0.825;95.6;0.817;100.0;0.759;100.0;0.621;99.8;0.751;;;;
cifar10;$\ell_1$;C4;Foolbox;\hornetwrap{BIM};99.8;0.819;96.0;0.815;100.0;0.758;100.0;0.606;99.3;0.731;;;;
cifar10;$\ell_1$;C4;ART;\hornetwrap{BIM};69.1;0.644;68.5;0.685;90.6;0.724;93.9;0.702;64.3;0.629;;;;
cifar10;$\ell_1$;C4;Foolbox;\hornetwrap{FGM};84.3;0.661;76.3;0.682;96.6;0.669;92.7;0.5;77.3;0.513;;;;
cifar10;$\ell_1$;C4;ART;\hornetwrap{FGM};84.1;0.659;76.1;0.681;96.6;0.667;92.4;0.499;77.0;0.511;;;;
cifar10;$\ell_1$;C4;ART;\hornetwrap{PGD};32.9;0.33;48.8;0.504;74.6;0.658;80.2;0.648;29.8;0.321;;;;
cifar10;$\ell_1$;C4;CleverHans;\hornetwrap{FGM};0.5;0.006;0.2;0.002;1.4;0.016;6.2;0.067;0.3;0.004;;;;
cifar10;$\ell_1$;C5;Original;\hornetwrap{APGD};100.0;0.959;99.9;0.972;100.0;0.949;100.0;0.944;100.0;0.982;;;;
cifar10;$\ell_1$;C5;AdvLib;\hornetwrap{APGD};100.0;0.924;99.9;0.883;100.0;0.947;100.0;0.803;100.0;0.982;;;;
cifar10;$\ell_1$;C5;ART;\hornetwrap{BIM};99.9;0.811;86.5;0.829;99.7;0.783;99.8;0.941;100.0;0.713;;;;
cifar10;$\ell_1$;C5;ART;\hornetwrap{PGD};99.5;0.808;76.9;0.755;99.2;0.783;98.4;0.934;99.9;0.693;;;;
cifar10;$\ell_1$;C5;Foolbox;\hornetwrap{PGD};100.0;0.729;96.8;0.821;100.0;0.804;100.0;0.884;100.0;0.496;;;;
cifar10;$\ell_1$;C5;Foolbox;\hornetwrap{BIM};100.0;0.715;97.1;0.827;100.0;0.8;99.9;0.879;100.0;0.469;;;;
