Dataset,$\ell_p$,Source Model,Library,Attack Name,I1 ASR,I1 Optimality,I2 ASR,I2 Optimality,I3 ASR,I3 Optimality,I4 ASR,I4 Optimality
imagenet,$\ell_\infty$,I3,CleverHans,\hornetwrap{FGM},99.9,0.787,99.9,0.829,99.9,0.794,99.4,0.776
imagenet,$\ell_\infty$,I3,Original,\hornetwrap{FGSM$_ga-tdmi$},99.9,0.0,99.8,0.721,100.0,0.0,99.8,0.659
imagenet,$\ell_\infty$,I3,Original,\hornetwrap{FGSM$_ga-dmi$},100.0,0.0,99.9,0.717,100.0,0.0,99.8,0.659
imagenet,$\ell_\infty$,I4,Original,\hornetwrap{APGD},100.0,0.97,100.0,0.962,100.0,0.966,100.0,0.999
imagenet,$\ell_\infty$,I4,ART,\hornetwrap{PGD},100.0,0.924,100.0,0.942,100.0,0.94,100.0,0.966
imagenet,$\ell_\infty$,I4,ART,\hornetwrap{BIM},100.0,0.926,100.0,0.939,100.0,0.937,100.0,0.967
imagenet,$\ell_\infty$,I4,CleverHans,\hornetwrap{PGD},100.0,0.909,100.0,0.93,100.0,0.908,100.0,0.955
imagenet,$\ell_\infty$,I4,ART,\hornetwrap{FGM},99.8,0.716,99.9,0.807,99.7,0.77,98.7,0.725
imagenet,$\ell_\infty$,I4,CleverHans,\hornetwrap{FGM},99.8,0.716,99.9,0.807,99.7,0.77,98.7,0.725
imagenet,$\ell_\infty$,I4,Original,\hornetwrap{FGSM$_ga-dmi$},99.9,0.0,99.5,0.795,99.9,0.749,99.6,0.0
imagenet,$\ell_\infty$,I4,Original,\hornetwrap{FGSM$_ga-tdmi$},99.9,0.0,99.5,0.794,99.8,0.746,99.7,0.0
imagenet,$\ell_\infty$,E,Original,\hornetwrap{APGD},100.0,0.969,100.0,0.982,100.0,0.989,100.0,0.987
imagenet,$\ell_\infty$,E,ART,\hornetwrap{BIM},100.0,0.935,100.0,0.958,100.0,0.957,100.0,0.947
imagenet,$\ell_\infty$,E,ART,\hornetwrap{PGD},100.0,0.934,100.0,0.959,100.0,0.955,100.0,0.945
imagenet,$\ell_\infty$,E,CleverHans,\hornetwrap{PGD},100.0,0.926,100.0,0.932,100.0,0.907,100.0,0.891
imagenet,$\ell_\infty$,E,ART,\hornetwrap{FGM},99.9,0.812,100.0,0.851,100.0,0.858,100.0,0.803
imagenet,$\ell_\infty$,E,CleverHans,\hornetwrap{FGM},99.9,0.812,100.0,0.851,100.0,0.858,100.0,0.803
imagenet,$\ell_\infty$,E,Original,\hornetwrap{FGSM$_ga-tdmi$},100.0,0.0,100.0,0.69,100.0,0.0,100.0,0.0
imagenet,$\ell_\infty$,E,Original,\hornetwrap{FGSM$_ga-dmi$},100.0,0.0,100.0,0.688,100.0,0.0,100.0,0.0
